variant,MAE,RMSE,MAPE,seconds
Base Transformer,0.43386390805244446,0.5939314715482821,60.131309509277344,175.21
No positional encoding,0.43368276953697205,0.5955407593628411,59.835350036621094,165.77
Univariate input,0.4454866349697113,0.6027832525661938,65.08332824707031,283.23
72-hour context,0.4456780254840851,0.592383871005226,67.92375946044922,50.19
d_model 32,0.4296253025531769,0.5880050801232872,59.4146842956543,143.1
Zero dropout,0.43083617091178894,0.5932568208468728,58.40179443359375,121.14
Tuned d_model 32 + zero dropout,0.4240367114543915,0.5909694514923749,56.870059967041016,125.71
