model,MAE,RMSE,MAPE,seconds
XGBoost,0.4183271527290344,0.5712019373000707,61.350120544433594,31.38
Tuned Transformer,0.4240367114543915,0.5909694514923749,56.870059967041016,125.71
GRU,0.43550482392311096,0.5874157378460454,63.2957649230957,342.81
LSTM,0.44004756212234497,0.6020292725321423,62.05116653442383,61.84
Persistence,0.6824973225593567,0.9344934573406274,98.53811645507812,0.0
